problem_id,topic,difficulty,simple_score,simple_v2_score,qwen3_4b_score,delta_4b_vs_simple,simple_notes,simple_v2_notes,qwen3_4b_notes
cauchy_sequence_summable_differences,sequences,hard,7,7,10,+3,"用 Cauchy 準則＋telescoping，邏輯完整、結論正確。唯一瑕疵：求和時漏掉 k=n 項（寫成 1/2^(m-1)+…+1/2^(n+1)），界算成 1/2^n（正確應為 1/2^(n-1)）的 off-by-one。不影響收斂結論。","與 simple 幾乎相同，同樣的 off-by-one（步驟3）。開頭帶「To verify the correctness…」略 meta，步驟6 有筆誤「** choices**」，但整體為完整證明、結論正確。Review 未抓到 off-by-one。","同 Cauchy 準則，但幾何級數和正確算為 1/2^(n-1)(1-(1/2)^(m-n)) < 1/2^(n-1)，無 7B 的 off-by-one。N 選取嚴謹、完整正確。"
iterated_map_converges_to_zero,dynamical_systems,hard,9,9,10,+1,"明確分 x_0=0 與 x_0∈(0,1] 兩案，嚴格遞減＋有下界＋收斂到下確界，L=f(L) 推得 L=0。處理邊界、完整正確。","策略前言＋四步：有界、單調（含 x_0=0 邊界案）、MCT、L=f(L)⇒L=0。完整正確，與 simple 同級。","有界＋單調（含 x_0=0 及中途觸零變常數的處理）＋MCT＋L=f(L)，L>0 與 f(x)<x 矛盾⇒L=0。乾淨完整正確。"
periodic_function_two_critical_points,derivatives,hard,5,4,0,-5,"MVT 取得第一個零點 c（f(1)=f(0) 故 f'(c)=0）正確；但第二個零點用 IVT 推導錯誤——f'(0)>0、f'(c)=0 之間 IVT 只給 (0,f'(0)) 的值、不含 0，無法產生第二個零點。第一零點對、第二零點論證無效。","更混亂：步驟4 用任意 a,b（f(a)≠f(b)）的 MVT 得到 f'(c)≠0（非零點，方向錯）；步驟6 宣稱 [0,1) 一個零點＋[1,2) 一個零點即為兩相異零點，但週期把 [1,2) 零點映回 [0,1) 同一點，相異性是 non-sequitur。","答案空白——思考鏈 24222 字元用盡 num_predict=8192 預算，未輸出 </think> 即被截斷，無最終證明。失效模式為長度截斷，非推理錯誤（思考鏈內已在嘗試 Rolle/週期論證）。"
nonnegative_continuous_zero_integral,integration,hard,9,9,10,+1,"標準反證：f(c)>0 由連續性得鄰域 f>f(c)/2，區間積分>0 與 ∫=0 矛盾。完整正確；未顯式處理 c 在端點的邊界但屬小瑕疵。","同反證法，且顯式處理邊界 (c-δ,c+δ)∩[0,1]、長度「至少 2δ（若 c 不在端點）」，比 simple 更注意邊界。完整正確。","反證＋EVT 取 M=f(c)＋連續鄰域 f≥M/2＋積分>0 矛盾，且顯式處理端點 a=max(0,c-δ),b=min(1,c+δ)。完整正確、邊界處理乾淨。"
cauchy_functional_equation_continuous,functional_equations,hard,9,9,10,+1,"f(0)=0、f(nx)=nf(x)（含負整數）、有理數 f(p/q)=(p/q)f(1)、再以稠密性＋連續性延拓至實數。非循環、完整正確。","同路線，額外明寫 f(x/n)=f(x)/n 再到 f((p/q)x)。完整正確；結尾 boxed{c} 是小筆誤（內文已明確 f(x)=cx, c=f(1)）。","f(0)=0、整數歸納、有理數 f(a/b)=(a/b)f(1)、稠密＋連續延拓至實數。非循環、完整正確，結尾 boxed 也明確 f(x)=cx。"
recursive_sequence_convergence,sequences,hard,3,3,3,0,"有界 0<a_n≤1 正確；但宣稱數列單調遞減為假命題（a_1=1, a_2≈0.333, a_3≈0.429 實為震盪），且「2-(a_n+1)^2<1-1=0」算術錯誤。極限 √2-1 正確，但 MCT 的單調前提不成立。","與 simple 完全相同的假單調性＋同一算術錯誤。Review 雖被指示「測小案例驗證單調」卻未照做、未抓到。極限正確但證明無效。","正性＋不動點 L=√2-1（正確）後，改用奇偶子數列方法（正確方向，因數列實為震盪非單調，避開了 7B 的假單調錯誤）——但答案在『c_n =』處被截斷，主體未完成。方法對但未完成。"
uniform_limit_continuous,continuity,hard,10,10,10,0,"標準 ε/3：固定 N、用 f_N 連續取 δ、三角不等式合併。乾淨、完整、正確。","重寫為逐點：取 n≥N 的一致界＋f_N 連續的 δ，三角不等式得 |f(x)-f(y)|<ε。正確完整，與 simple 同級。","標準 ε/3：固定 N、f_N 連續取 δ、三角不等式。乾淨完整正確。"
derivative_limit_implies_average_limit,limits,hard,7,5,10,+3,"MVT 於 [0,x]：f(x)/x=f'(c)+f(0)/x。唯一瑕疵：宣稱「c∈(0,x), x→∞ ⇒ c→∞」未證（c 可能有界），是已知漏洞。其餘乾淨。","Review 改用 [x,x+1] 的 MVT 修好 c→∞ 漏洞，但隨後跳到 f(x)/x→L 需 Stolz–Cesàro，步驟7-8 含糊、結論未真正成立。更迂迴並引入新缺口。","h=f-Lx，h'→0；MVT 於 [M,x] 得 c∈(M,x) 故 |h'(c)|<ε/2（自動成立，無 7B 的 c→∞ 未證漏洞），再 |h(M)|/x→0。完整正確，正好修好 7B/v2 的核心缺口。"
contraction_unique_fixed_point,fixed_point,hard,1,6,10,+9,"嚴重失敗：嘗試證 g=f-x 為收縮（方向錯），自己發現錯誤後退化成「we need to show that we need to show…」無限重複直到 token 用盡，未完成任何有效證明。","大幅改善：存在性用 g=f-x＋IVT（以收縮界控制 g 在 0 與 1/(1-k) 變號）—非循環、未引用 Banach；唯一性 |p1-p2|≤k|p1-p2| 矛盾，完全正確。","標準 Banach：迭代序列 d_n≤k^n d_0、|x_m-x_n|≤d_0·k^n/(1-k) 證 Cauchy、完備性收斂、連續得 f(L)=L、唯一性 (1-k)|p-q|≤0。完整嚴謹（7B 此題退化迴圈僅 1 分）。"
gronwall_zero_function,derivatives,hard,5,3,0,-5,"g=e^{-x}f，轉用 h=|g| 推得 h'≤2h（含符號處理，正確且非平凡），h(0)=0、h≥0。結論 f≡0 正確；但把 h'≤2h 說成「h 非增」是錯誤推論（應引用 Gronwall），結果對、中間理由有誤。","Review 改用極值法分證 f≤0 與 f≥0，但核心論證無效：內部極值 f'(c)=0 與 |f'(c)|≤|f(c)| 並不矛盾，所宣稱的矛盾不存在。策略對但推理是 non-sequitur。","答案空白——思考鏈 21962 字元用盡 token 預算被截斷，無最終證明。同 #3 的長度截斷失效，非推理錯誤。"
