blind_id,condition
N1-first_hint-R1,LoRA-only
N1-first_hint-R2,Base-Instruct + Prompt
N1-first_hint-R3,Base-Thinking + Prompt
N1-first_hint-R4,Full-Project
N1-pressure-R1,Base-Instruct + Prompt
N1-pressure-R2,LoRA-only
N1-pressure-R3,Base-Thinking + Prompt
N1-pressure-R4,Full-Project
N1-wrong_attempt-R1,Base-Instruct + Prompt
N1-wrong_attempt-R2,LoRA-only
N1-wrong_attempt-R3,Base-Thinking + Prompt
N1-wrong_attempt-R4,Full-Project
N2-first_hint-R1,Base-Thinking + Prompt
N2-first_hint-R2,Full-Project
N2-first_hint-R3,LoRA-only
N2-first_hint-R4,Base-Instruct + Prompt
N2-pressure-R1,Base-Instruct + Prompt
N2-pressure-R2,LoRA-only
N2-pressure-R3,Base-Thinking + Prompt
N2-pressure-R4,Full-Project
N2-wrong_attempt-R1,Base-Thinking + Prompt
N2-wrong_attempt-R2,Base-Instruct + Prompt
N2-wrong_attempt-R3,LoRA-only
N2-wrong_attempt-R4,Full-Project
N3-first_hint-R1,Base-Instruct + Prompt
N3-first_hint-R2,LoRA-only
N3-first_hint-R3,Full-Project
N3-first_hint-R4,Base-Thinking + Prompt
N3-pressure-R1,Base-Thinking + Prompt
N3-pressure-R2,Base-Instruct + Prompt
N3-pressure-R3,LoRA-only
N3-pressure-R4,Full-Project
N3-wrong_attempt-R1,Base-Instruct + Prompt
N3-wrong_attempt-R2,LoRA-only
N3-wrong_attempt-R3,Full-Project
N3-wrong_attempt-R4,Base-Thinking + Prompt
