problem_id,topic,difficulty,baseline_v4_fresh_score,simple_fresh_score,baseline_v4_fresh_notes,simple_fresh_notes
cauchy_sequence_summable_differences,sequences,hard,7,7,"標準 Cauchy 準則 + 望遠鏡求和 + 三角不等式，策略正確、結論正確；但等比級數求和存在索引偏移：列出的求和範圍從 1/2^{m-1}+...+1/2^{n+1}（遺漏了最小項 1/2^n），再以首項 1/2^{n+1} 計算得 1/2^n(1-1/2^{m-n})<1/2^n——宣稱的上界 1/2^n 比由給定條件正確推得的 1/2^{n-1} 小一半（factor-of-2 錯誤），不影響「上界→0⇒Cauchy⇒收斂」的整體結論。extract 失敗退回 fallback，不影響生成品質，accepted=true，attempts=1。與歷次 v4（7 分）同等水準。","與 baseline_v4_fresh 幾乎相同的策略與同類型的 factor-of-2 索引錯誤：求和從 1/2^{m-1}+...+1/2^{n+1} 起，遺漏 1/2^n 項，得到的上界 1/2^n 比正確值 1/2^{n-1} 小一半，不影響最終收斂結論；整體策略完整、計算脈絡清楚。與歷次 simple（7 分）同等水準。"
iterated_map_converges_to_zero,dynamical_systems,hard,8,9,"正確使用「遞減（f(x)<x）+ 有界（[0,1]）⇒ MCT 收斂 → L=f(L) → f(L)<L 若 L>0，矛盾 → L=0」論證骨架；步驟清楚、無算術錯誤、結論完整正確；唯一缺漏是未明確處理 x_0=0 的邊界情形（x_0=0 時 x_n=f(0)=0 trivially，僅需一句話）。accepted=true，attempts=1。與歷次 v4（8 分）同等水準。","與 baseline_v4_fresh 相同論證骨架，額外在步驟 2 明確處理 x_0=0 邊界情形（'if x_0=0 then x_n=0 for all n, x_n→0 trivially'），使覆蓋範圍更完整；「L=f(L) 在 [0,1] 唯一解為 0」用 f(x)<x ⇒ f(L)<L 若 L>0 直接排除，邏輯完整。比歷次 simple（9 分）同等水準，是三個版本（v4/simple/v4_fresh）中唯一明確覆蓋 x_0=0 邊界的。"
periodic_function_two_critical_points,derivatives,hard,5,5,"Step2（週期性 f(0)=f(1) + MVT → 第一個零點 c₁∈(0,1)）正確。Step3 嘗試更直接的策略：IVT 在 f(x₁)>f(0) 和 f(x₂)<f(0) 的前提下找 d 使 f(d)=f(0)，再對 [c₁,d] 套 MVT 求第二個零點。但關鍵錯誤：MVT 步驟寫 f'(e)=(f(d)-f(c₁))/(d-c₁)=(f(0)-f(0))/(d-c₁)=0——此處把 f(c₁) 誤用為 f(0)（c₁ 是 f' 的零點，並非 f 等於 f(0) 的點，兩者混淆）；且「WLOG f 同時取 f(0) 以上與以下的值」假設未涵蓋 f 僅在 f(0) 一側擺動的情形。策略方向接近正確但執行有邏輯缺口，accepted=false，attempts=2。與歷次 v4（5 分）同等水準。","Step2（MVT → 第一個零點 c₁）正確。Step3/4 的第二個零點論證：宣稱「f 非常數 ⇒ f' 非常數 ⇒ f' 同時取正、負（或零與正/負）值」——此推論不嚴謹（f' 非常數不保證同時取正負值，f'≥0 且非常數亦可能），即使接受這個前提，IVT 應用也未指明具體的符號交替區間；「d≠c」的相異性依舊依賴「f' 非恆零」這個不充分的理由。與歷次 simple（5 分）同等水準。"
nonnegative_continuous_zero_integral,integration,hard,9,9,"標準且完整的反證法：假設 f(c)>0，取 ε=f(c)/2，由連續性得鄰域 (c-δ,c+δ) 上 f>f(c)/2；鄰域積分>f(c)δ>0；由 f≥0 加上積分的區間加性得 ∫₀¹f>0，矛盾。推導乾淨、邏輯完整；唯一缺漏是未處理 c 為端點（c=0 或 1）時鄰域應與 [0,1] 取交集的細節。extract 失敗退回 fallback，不影響品質，accepted=true，attempts=1。與歷次 v4（9 分）同等水準。","與 baseline_v4_fresh 幾乎相同的反證法，步驟同樣完整；端點邊界細節同樣省略。整體品質與 v4_fresh 持平，與歷次 simple（9 分）同等水準。"
cauchy_functional_equation_continuous,functional_equations,hard,9,9,"Step1-5 推導完整且非循環：f(0)=0 ✓；f(-x)=-f(x) ✓；f(nx)=nf(x) 對整數歸納（含負整數）✓；關鍵步驟 f(x/n)=f(x)/n 用「f(n·x/n)=nf(x/n)=f(x)」推導（非循環，直接套用整數情形）✓；f(m/n·x)=m/n·f(x) ✓；連續性 + 有理數稠密性延伸到實數 ✓。整個推導無循環論證，accepted=true，attempts=1（耗時 745s，模型深度推理）。與歷次 v4（9 分）同等水準。","與 baseline_v4_fresh 採用相同的非循環推導策略：f(p/q) 用 f(q·p/q)=qf(p/q)=f(p)=pf(1) 求得 f(p/q)=p/q·f(1)；連續性延伸到實數論證完整。明顯優於歷次 simple（4 分，當時有循環歸納錯誤）——本次重跑採樣到更優的策略，與 v4（9 分）持平。"
recursive_sequence_convergence,sequences,hard,4,3,"Step1（0<a_n≤1 有界性，歸納法）正確且嚴謹。Step2（單調性）：正確計算 a_{n+1}-a_n=(2-(a_n+1)²)/(2+a_n)；但接著宣稱「由 0<a_n≤1 → a_n+1>1 → (a_n+1)²>1 → 2-(a_n+1)²<1，且 2+a_n>2 故整體 <0」——由 (a_n+1)²>1 只能得 2-(a_n+1)²<1，並非<0；當 a_n<√2-1≈0.414 時 (a_n+1)²<2 使差值>0，數列實際上是震盪收斂而非單調遞減。Step3-4 基於錯誤的單調性套用 MCT；Step4 正確解出 L=√2-1（排除負根）。與歷次 v4（4 分）同等水準。","Step1（有界性）正確。Step2 計算 a_{n+1}-a_n=(2-(a_n+1)²)/(2+a_n) 正確，但寫「由 (a_n+1)²>1 得 2-(a_n+1)²<1-1=0」——此「1-1=0」是算術錯誤（由 (a_n+1)²>1 只得 <1，需 >2 才得 <0），與歷次 v3/v5 的同類算術錯誤完全相同；數列實際震盪收斂，單調性宣稱無效。Step4 正確解出 L=√2-1。與歷次 simple（3 分）同等水準。"
uniform_limit_continuous,continuity,hard,10,10,"標準且完整的 ε/3 論證：(1) 均勻收斂給 N 使對所有 n≥N、所有 x∈[a,b] 有 |f_n(x)-f(x)|<ε/3 ✓；(2) f_N 在 x₀ 的連續性給 δ 使 |f_N(x)-f_N(x₀)|<ε/3 ✓；(3) 三角不等式拆三項各<ε/3，合計<ε ✓；量詞順序正確（先 ε，再 N，再 δ），邏輯無缺口。extract 失敗退回 fallback，不影響品質，accepted=true，attempts=1。與歷次 v4（10 分）同等水準。","與 baseline_v4_fresh 幾乎相同的 ε/3 論證，同樣完整正確，找不到任何邏輯缺口，與歷次 simple（10 分）同等水準。"
derivative_limit_implies_average_limit,limits,hard,4,9,"策略方向正確（MVT，優於直接套用 L'Hôpital）。Step1 對 [0,x] 套 MVT 得 f'(c)=(f(x)-f(0))/x（c∈(0,x)）✓。但 Step2 宣稱「c∈(0,x) 且 x>M ⇒ c>M，故 |f'(c)-L|<ε」——c∈(0,x) 並不保證 c>M（c 可以任意接近 0）。更嚴重的是 Step3 直接寫「f(x)/x = f'(c)」，把 (f(x)-f(0))/x = f'(c) 中的 f(0)/x 項憑空丟棄（除非 f(0)=0，但題目未假設）；Step4 以 |f(x)/x-L|=|f'(c)-L|<ε 得出結論，論證不嚴謹。兩個缺口（c>M 未證 + f(0)/x 消失）使本輪 v4_fresh 與 baseline_v5（均 4 分）相當，比歷次 v4（6 分，僅一個缺口）略低。","正確使用「先固定 M，再對 [M,x] 套 MVT」的關鍵技巧：取 M>0 使 x>M ⇒ |f'(x)-L|<ε；對 [M,x] 套 MVT 得 c∈(M,x)（c>M 有保證）✓；得到 (L-ε)(x-M)<f(x)-f(M)<(L+ε)(x-M)；除以 x 得 (L-ε)(1-M/x)+f(M)/x < f(x)/x < (L+ε)(1-M/x)+f(M)/x；當 x→∞ 兩項均→0，故 L-ε ≤ lim f(x)/x ≤ L+ε，由 ε 任意得結論 ✓。正確保留並處理 f(M)/x→0 項，論證嚴謹完整，與歷次 simple（9 分）同等水準。"
contraction_unique_fixed_point,fixed_point,hard,3,3,"Step1（存在性）直接引用 Banach 不動點定理：「f 是完備距離空間上的收縮映射，由 Banach 定理有唯一不動點」——本題 goal 本身就是 R 上 Banach 定理的特例，用該定理「證明」其特例是循環論證，無 Picard 迭代或 Cauchy 數列構造等獨立推導。Step2（唯一性）正確反證：|p-q|=|f(p)-f(q)|≤k|p-q| ⇒ 若 p≠q 則 1≤k，矛盾 ✓。整體「存在性循環、唯一性獨立」與歷次 v4（3 分）完全一致。","Step1（存在性）：取 g=f-x，展示 |g(a)-g(b)|≥(1-k)|a-b|>0，宣稱「g(a) 和 g(b) 異號故 IVT 給零點」——但 |g(a)-g(b)|>0 只說明兩者不相等，並不蘊含異號（g 可能同號但大小不同）；無法由此確認 IVT 前提。Step2（唯一性）正確 ✓。整體與歷次 simple（3 分）同等水準：唯一性正確、存在性有邏輯缺陷。"
gronwall_zero_function,derivatives,hard,3,3,"Step1-2（g=e^{-x}f(x)，g'=e^{-x}(f'-f)）正確。Step3 自我矛盾：先正確得出 |g'(x)|≤2e^{-x}|f(x)|，接著試圖「改進」卻寫出錯誤的 |g'(x)|≤e^{-x}|f(x)|（少一半），明確寫「This is not correct. Let's use the correct approach」後仍回到同一個錯誤上界，顯示自我矛盾且無法收束。Step4 用 MVT 得 g'(c)=e^{-1}f(1)，由不等式導出 |f(1)|≤|f(c)|（c∈(0,1)），然後宣稱「重複此論證得 |f(x)|≤0 對所有 x∈[0,1]」——「重複此論證」屬於不嚴謹的空泛宣稱，未說明如何從 |f(1)|≤|f(c)| 遞推到 f≡0。比歷次 v4（4 分，設定正確無自我矛盾、只有結尾 non-sequitur）更低，與歷次 v3/v5（均 3 分）相當。","設定 g=e^{-x}f(x)，g'=e^{-x}(f'-f)，推導 |g'(x)|≤2|g(x)|（由 |f'|≤|f| → |f'-f|≤2|f|=2e^x|g|）方向正確。嘗試「假設存在最大值 M>0 在 c 處，由 Fermat g'(c)=0，再得 0≤2e^c M → M=0，矛盾」——但 0≤2e^c M 恆成立（e^c>0, M>0），從中無法推出 M=0；這是 non-sequitur（若要用最大值論證，需要 |g'(c)|=2|g(c)| 等號成立，而非僅≤）。比歷次 simple（2 分，直接無理由宣稱結論）略有進步（設定更清楚、有結構的嘗試），但核心論證仍有致命缺陷，與歷次 v5（3 分）同等水準。"
