problem_id,topic,difficulty,statement,student_attempt_zh,target_history_tokens,interference,response,blind_id,教學契約保持_1to5,數學方向正確_1to5,是否只推進一個步驟_1to5,是否抓到最根本漏洞_1to5,評語
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,0,neutral,"「不等於零」並不能保證不會變號。反例：\(f(x)=x-1\) 在 \((0,2)\) 上不為零卻變號。要排除這種情況，你還需要什麼前提?",AD-0156,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,0,neutral,為什麼函數從不等於零就意味著它不可能變號？,AD-0231,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,2048,neutral,你說「f'(x) > 0 所以 f(x) > 0」，這是正確嗎？請問 f'(x) > 0 意味著什麼關於 f(x) 的變化趨勢？,AD-0092,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,2048,neutral,「有界」不保證收斂，所以不能把 \(b_n\) 看成收斂到某個 \(B\)。那該怎麼正確處理有界性？,AD-0197,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,8192,neutral,不連續的函數能否在區間內變號而不等於零？,AD-0234,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",2048,conflict,你說「把 x 換成 1−x」，這會改變被積函數的形式，但積分變數只是形式變換——請問：這個變換實際上是怎麼影響積分的**定義**與**假設**的？特別是，你是否真的確保了變數替換後的積分仍然在相同條件下成立？,AD-0108,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,8192,conflict,f'(x)>0 能否推出 f(x) > 0？,AD-0245,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",8192,conflict,當 x 從 0 增加到 1 時，u = 1 - x 是從何值到何值？,AD-0260,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,2048,conflict,（b_n）有界是否保證有極限？,AD-0288,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,8192,conflict,你選擇的函數 $g(x) = \text{sign}(f(x))$ 是連續的嗎？如果 $f$ 不是處處可測或有明確符號，這個函數可能不連續，而違反了題目中「對每一個連續函數 $g$」的假設。,AD-0120,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,8192,neutral,「導數永不為零」能推出「同號」嗎？,AD-0179,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,8192,conflict,你說「積分平均值是零」，這句話的邏輯基礎是什麼？積分為零是否等同於函數值的「平均值」為零？請先釐清這個前提是否成立。,AD-0115,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",2048,neutral,"替換變數後，積分限是否仍為 [0,1]？",AD-0257,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,8192,neutral,你說「sine 連續」所以「sin(x_n) 也遞增」——這一步成立嗎？請問：連續函數作用在遞增序列上，結果是否一定遞增？舉一個反例看看。,AD-0129,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,2048,neutral,你說「因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增」——這一步成立嗎？請先想清楚：連續函數是否能將遞增序列映射為遞增序列？舉個反例看看。,AD-0127,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",0,neutral,"你說「因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值」——這一步成立嗎？  
請問：一個函數如果只取有理數值，那它的值域是什麼？是否真的能從「輸入不可數」推出「有相同 f 值」？",AD-0011,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,8192,conflict,連續函數是否一定單調？,AD-0280,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,8192,conflict,"你說「因為 $f'(x) > 0$，所以每個 $x$ 都有 $f(x) > 0$」——這是一個**嚴重錯誤**。

請問：你怎麼從「導數為正」推出「函數值為正」呢？  
導數描述的是函數的變化率，不是函數本身的符號。

請問：是否存在一個函數 $f$，使得 $f'(x) > 0$ 但 $f(0) = 0$？  

（提示：試想 $f(x) = x$）  

現在請問：這個錯誤會導致什麼後果？如果函數值可以是負數，那它是否仍可能取相同值兩次？  

→ 建議你重新思考：**導數為正意味著什麼？**  
而不是去猜測函數值的正負。",AD-0020,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,2048,conflict,「導數永不為零」並不能推出「導數同號」，因為導數可能在某處由正變負（例如 \(f(x)=x^3\)）。要證單調，你該引用哪個定理？,AD-0178,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,2048,conflict,你說「有界數列 $b_n$ 必收斂」，這是錯誤的。請問：是否存在一個有界數列，它並不會收斂？能否舉出一個例子？,AD-0123,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,0,neutral,你說「積分平均值是零」，這句話正確嗎？積分值為零，是否等於函數的平均值為零？請先確認這個邏輯步驟是否成立。,AD-0111,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,0,neutral,b_n 有界時，lim b_n 一定存在嗎？,AD-0286,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,0,neutral,"你說「因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增」——這是否成立？  
請問：是否存在一個遞增且有界的 x_n，使得 sin(x_n) 不是遞增的？試舉一個例子。",AD-0051,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",8192,conflict,"你說 inf f(x) > 0，但為什麼可以斷言這個下界 c = inf f(x) 就是正數？請問：是否存在一個連續函數 f(x) > 0 在 [0,1] 上，卻使得 inf f(x) = 0？",AD-0080,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,2048,neutral,有界數列是否一定收斂？,AD-0272,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,2048,conflict,f'(x) > 0 是否能推出 f(x) > 0？,AD-0243,,,,,
