blind_id,problem_id,problem,verified_reference,student_draft,reviewer_response,rater_id,root_issue_correct_0or1,false_issue_added_0or1,completeness_1to5,usable_for_tutor_0or1,notes
R-N1-M1,N1,"Suppose that $\lim_{x\to a} f(x)=L$ and $L>0$. Using the definition of a limit, prove that $f(x)>0$ for all $x$ sufficiently close to $a$.","Let $\varepsilon=L/2>0$. By $\lim_{x\to a}f(x)=L$, there is $\delta>0$ such that $0<|x-a|<\delta$ implies $|f(x)-L|<L/2$. Hence $f(x)>L-L/2=L/2>0$. Therefore $f(x)>0$ for every $x$ in a sufficiently small punctured neighborhood of $a$.",I use epsilon = 1. Then there is delta > 0 such that 0 < |x-a| < delta implies |f(x)-L| < 1. Thus f(x) > L-1 > 0 because L > 0. Is this proof correct?,"[""The student incorrectly assumes that L - 1 > 0 without justification, as L > 0 does not imply L > 1.""]",,,,,,
R-N1-M2,N1,"Suppose that $\lim_{x\to a} f(x)=L$ and $L>0$. Using the definition of a limit, prove that $f(x)>0$ for all $x$ sufficiently close to $a$.","Let $\varepsilon=L/2>0$. By $\lim_{x\to a}f(x)=L$, there is $\delta>0$ such that $0<|x-a|<\delta$ implies $|f(x)-L|<L/2$. Hence $f(x)>L-L/2=L/2>0$. Therefore $f(x)>0$ for every $x$ in a sufficiently small punctured neighborhood of $a$.",I use epsilon = 1. Then there is delta > 0 such that 0 < |x-a| < delta implies |f(x)-L| < 1. Thus f(x) > L-1 > 0 because L > 0. Is this proof correct?,"The core idea is right but the choice of $\varepsilon=1$ is too crude — it may not even make $L-1>0$. To guarantee $f(x)>0$, you must choose $\varepsilon$ so small that $L-\varepsilon$ remains positive. What should $\varepsilon$ be chosen as?",,,,,,
R-N1-M3,N1,"Suppose that $\lim_{x\to a} f(x)=L$ and $L>0$. Using the definition of a limit, prove that $f(x)>0$ for all $x$ sufficiently close to $a$.","Let $\varepsilon=L/2>0$. By $\lim_{x\to a}f(x)=L$, there is $\delta>0$ such that $0<|x-a|<\delta$ implies $|f(x)-L|<L/2$. Hence $f(x)>L-L/2=L/2>0$. Therefore $f(x)>0$ for every $x$ in a sufficiently small punctured neighborhood of $a$.",I use epsilon = 1. Then there is delta > 0 such that 0 < |x-a| < delta implies |f(x)-L| < 1. Thus f(x) > L-1 > 0 because L > 0. Is this proof correct?,"[""The choice of ε = 1 is insufficient to guarantee f(x) > 0; it depends on L, and the argument fails when L is very small (e.g., L = 0.1), since L−1 < 0. The proof must use ε = L/2 to ensure that f(x) > L − L/2 = L/2 > 0, which is strictly positive. The student's choice of ε = 1 does not work in general and misses the necessity of choosing ε based on L to bound away from zero.""]",,,,,,
R-N2-M1,N2,"Prove that if $f$ is continuous on $[a,b]$ with $a<b$, then there exists $c\in(a,b)$ such that $\int_a^b f(x)\,dx=f(c)(b-a)$.","Define $F(t)=\int_a^t f(x)\,dx$. Since $f$ is continuous, the Fundamental Theorem of Calculus gives that $F$ is continuous on $[a,b]$, differentiable on $(a,b)$, and $F'(t)=f(t)$. By the Mean Value Theorem, there is $c\in(a,b)$ such that $F(b)-F(a)=F'(c)(b-a)$. Since $F(a)=0$, this is exactly $\int_a^b f(x)\,dx=f(c)(b-a)$.","I use the Intermediate Value Theorem as follows. Let A=(1/(b-a)) integral_a^b f(x) dx. Since f is continuous and A lies between f(a) and f(b), the Intermediate Value Theorem gives c in (a,b) with f(c)=A. Is this correct?","[""The student incorrectly applies the Intermediate Value Theorem to conclude that there exists $c \in (a,b)$ with $f(c) = \frac{1}{b-a} \int_a^b f(x)\,dx$, without justifying that the average value of $f$ lies between $f(a)$ and $f(b)$, which is not necessarily true for all continuous functions; the correct argument relies on the Mean Value Theorem for integrals, not the Intermediate Value Theorem."", ""The student fails to establish that the value $A = \frac{1}{b-a} \int_a^b f(x)\,dx$ equals $f(c)$ for some $c \in (a,b)$ via a proper application of the Mean Value Theorem for integrals, which requires a different argument based on the continuity of $f$ and the Fundamental Theorem of Calculus, not the Intermediate Value Theorem.""]",,,,,,
R-N2-M2,N2,"Prove that if $f$ is continuous on $[a,b]$ with $a<b$, then there exists $c\in(a,b)$ such that $\int_a^b f(x)\,dx=f(c)(b-a)$.","Define $F(t)=\int_a^t f(x)\,dx$. Since $f$ is continuous, the Fundamental Theorem of Calculus gives that $F$ is continuous on $[a,b]$, differentiable on $(a,b)$, and $F'(t)=f(t)$. By the Mean Value Theorem, there is $c\in(a,b)$ such that $F(b)-F(a)=F'(c)(b-a)$. Since $F(a)=0$, this is exactly $\int_a^b f(x)\,dx=f(c)(b-a)$.","I use the Intermediate Value Theorem as follows. Let A=(1/(b-a)) integral_a^b f(x) dx. Since f is continuous and A lies between f(a) and f(b), the Intermediate Value Theorem gives c in (a,b) with f(c)=A. Is this correct?","[""學生在應用中間值定理前，未證明 $A$ 介於 $f(a)$ 和 $f(b)$ 之間""]",,,,,,
R-N2-M3,N2,"Prove that if $f$ is continuous on $[a,b]$ with $a<b$, then there exists $c\in(a,b)$ such that $\int_a^b f(x)\,dx=f(c)(b-a)$.","Define $F(t)=\int_a^t f(x)\,dx$. Since $f$ is continuous, the Fundamental Theorem of Calculus gives that $F$ is continuous on $[a,b]$, differentiable on $(a,b)$, and $F'(t)=f(t)$. By the Mean Value Theorem, there is $c\in(a,b)$ such that $F(b)-F(a)=F'(c)(b-a)$. Since $F(a)=0$, this is exactly $\int_a^b f(x)\,dx=f(c)(b-a)$.","I use the Intermediate Value Theorem as follows. Let A=(1/(b-a)) integral_a^b f(x) dx. Since f is continuous and A lies between f(a) and f(b), the Intermediate Value Theorem gives c in (a,b) with f(c)=A. Is this correct?","The conclusion is right but the tool is wrong: the IVT needs the value to lie between the endpoint values — it doesn't guarantee a point with the average value. Also, the average need not lie between $f(a)$ and $f(b)$; $f$ may be negative. Which theorem should you use instead?",,,,,,
R-N3-M1,N3,"Let $f$ be continuous on $[0,2]$ and suppose that $f(0)=f(2)$. Prove that there exists $c\in[0,1]$ such that $f(c)=f(c+1)$.","Define $g(x)=f(x)-f(x+1)$ for $x\in[0,1]$. Then $g$ is continuous. Moreover, $g(0)=f(0)-f(1)$ and $g(1)=f(1)-f(2)=f(1)-f(0)=-g(0)$. If $g(0)=0$, take $c=0$; if $g(1)=0$, take $c=1$. Otherwise $g(0)$ and $g(1)$ have opposite signs, so the Intermediate Value Theorem gives some $c\in(0,1)$ with $g(c)=0$. In every case, $f(c)=f(c+1)$.","I use the function g(x)=f(x)-f(x+1). Since f(0)=f(2), we have g(0)=g(1). By the Intermediate Value Theorem, g(c)=0 for some c in [0,1]. Therefore f(c)=f(c+1). Is this correct?","[""The student incorrectly states that $g(0) = g(1)$ when in fact $g(1) = -g(0)$ because $f(0) = f(2)$ implies $g(1) = f(1) - f(2) = f(1) - f(0) = -(f(0) - f(1)) = -g(0)$.""]",,,,,,
R-N3-M2,N3,"Let $f$ be continuous on $[0,2]$ and suppose that $f(0)=f(2)$. Prove that there exists $c\in[0,1]$ such that $f(c)=f(c+1)$.","Define $g(x)=f(x)-f(x+1)$ for $x\in[0,1]$. Then $g$ is continuous. Moreover, $g(0)=f(0)-f(1)$ and $g(1)=f(1)-f(2)=f(1)-f(0)=-g(0)$. If $g(0)=0$, take $c=0$; if $g(1)=0$, take $c=1$. Otherwise $g(0)$ and $g(1)$ have opposite signs, so the Intermediate Value Theorem gives some $c\in(0,1)$ with $g(c)=0$. In every case, $f(c)=f(c+1)$.","I use the function g(x)=f(x)-f(x+1). Since f(0)=f(2), we have g(0)=g(1). By the Intermediate Value Theorem, g(c)=0 for some c in [0,1]. Therefore f(c)=f(c+1). Is this correct?","The step ""since $f(0)=f(2)$, we have $g(0)=g(1)$"" is false — it's not true in general. What does $g(0)$ equal and what does $g(1)$ equal?",,,,,,
R-N3-M3,N3,"Let $f$ be continuous on $[0,2]$ and suppose that $f(0)=f(2)$. Prove that there exists $c\in[0,1]$ such that $f(c)=f(c+1)$.","Define $g(x)=f(x)-f(x+1)$ for $x\in[0,1]$. Then $g$ is continuous. Moreover, $g(0)=f(0)-f(1)$ and $g(1)=f(1)-f(2)=f(1)-f(0)=-g(0)$. If $g(0)=0$, take $c=0$; if $g(1)=0$, take $c=1$. Otherwise $g(0)$ and $g(1)$ have opposite signs, so the Intermediate Value Theorem gives some $c\in(0,1)$ with $g(c)=0$. In every case, $f(c)=f(c+1)$.","I use the function g(x)=f(x)-f(x+1). Since f(0)=f(2), we have g(0)=g(1). By the Intermediate Value Theorem, g(c)=0 for some c in [0,1]. Therefore f(c)=f(c+1). Is this correct?","[
  ""Step: 'we have g(0)=g(1)' is incorrect. From f(0)=f(2), it follows that g(0)=f(0)-f(1), g(1)=f(1)-f(2)=f(1)-f(0)=-g(0), so g(1) = -g(0), not equal to g(0) unless g(0)=0. This assertion is false in general and leads to a wrong application of IVT."",
  ""Step: 'By the Intermediate Value Theorem, g(c)=0 for some c in [0,1]' lacks justification — the student assumes g(0)=g(1) implies opposite signs or zero, but this is not true. Even if g(0)=g(1), it does not guarantee a root unless sign change or zero value is established. The condition g(0)=g(1) is not sufficient to apply IVT.""
]",,,,,,
R-R1-M1,R1,Prove from the definition that lim_{x->2} x^2 = 4.,"For |x-2|<1 we have |x+2|<5; choose delta=min(1,epsilon/5), so |x^2-4|=|x-2||x+2|<epsilon.",Let delta=epsilon/|x+2|. Then |x-2|<delta implies |x^2-4|=|x-2||x+2|<epsilon.,$\delta$ 不能隨 $x$ 變動，這裡把 $\delta$ 定成含 $x$ 的式子就是違法。教訓：$\delta$ 必須由 $x$ 的範圍與常數估計決定，不能依賴變動的因子。,,,,,,
R-R1-M2,R1,Prove from the definition that lim_{x->2} x^2 = 4.,"For |x-2|<1 we have |x+2|<5; choose delta=min(1,epsilon/5), so |x^2-4|=|x-2||x+2|<epsilon.",Let delta=epsilon/|x+2|. Then |x-2|<delta implies |x^2-4|=|x-2||x+2|<epsilon.,"[""在定義 δ = ε / |x+2| 時，δ 依賴於 x 但 δ 必須是不依賴於 x 的常數"", ""在推導 |x^2-4| < ε 時，未陳述 |x-2|<1 以確保 |x+2| 有界""]",,,,,,
R-R1-M3,R1,Prove from the definition that lim_{x->2} x^2 = 4.,"For |x-2|<1 we have |x+2|<5; choose delta=min(1,epsilon/5), so |x^2-4|=|x-2||x+2|<epsilon.",Let delta=epsilon/|x+2|. Then |x-2|<delta implies |x^2-4|=|x-2||x+2|<epsilon.,"[
  ""The student defines delta in terms of |x+2|, which is not fixed and depends on x, violating the requirement that delta must be chosen independently of x to define the limit."",
  ""The student does not establish a bound on |x+2| for x near 2, such as showing |x+2| < 5 when |x-2| < 1, which is necessary to control the expression |x+2| in the inequality |x^2 - 4| = |x-2||x+2|."",
  ""The step where |x-2||x+2| < epsilon is claimed without justification of the bound on |x+2|, missing the crucial bounding argument that ensures the inequality holds uniformly near x=2.""
]",,,,,,
R-R2-M1,R2,Prove that every convergent real sequence is bounded.,"Choose N so n>=N implies |a_n-L|<1, hence |a_n|<|L|+1; combine this tail bound with the maximum of the finitely many initial absolute values.","Since a_n converges to L, choose N so n>=N gives |a_n|<|L|+1. Therefore |a_n|<|L|+1 for every n and the sequence is bounded.","[""The student assumes |a_n| < |L| + 1 for all n without establishing that the initial terms are bounded.""]",,,,,,
R-R2-M2,R2,Prove that every convergent real sequence is bounded.,"Choose N so n>=N implies |a_n-L|<1, hence |a_n|<|L|+1; combine this tail bound with the maximum of the finitely many initial absolute values.","Since a_n converges to L, choose N so n>=N gives |a_n|<|L|+1. Therefore |a_n|<|L|+1 for every n and the sequence is bounded.","The conclusion holds only for $n\ge N$, not for every $n$. The finitely many terms $n<N$ are not covered by the tail estimate — you must mention them.",,,,,,
