blind_id,condition
R-N1-M1,Base-Thinking reviewer
R-N1-M2,LoRA reviewer
R-N1-M3,Base-Instruct reviewer
R-N2-M1,Base-Instruct reviewer
R-N2-M2,Base-Thinking reviewer
R-N2-M3,LoRA reviewer
R-N3-M1,Base-Thinking reviewer
R-N3-M2,LoRA reviewer
R-N3-M3,Base-Instruct reviewer
R-R1-M1,LoRA reviewer
R-R1-M2,Base-Thinking reviewer
R-R1-M3,Base-Instruct reviewer
R-R2-M1,Base-Thinking reviewer
R-R2-M2,LoRA reviewer
R-R2-M3,Base-Instruct reviewer
R-R3-M1,Base-Thinking reviewer
R-R3-M2,LoRA reviewer
R-R3-M3,Base-Instruct reviewer
R-R4-M1,Base-Instruct reviewer
R-R4-M2,Base-Thinking reviewer
R-R4-M3,LoRA reviewer
R-R5-M1,Base-Thinking reviewer
R-R5-M2,LoRA reviewer
R-R5-M3,Base-Instruct reviewer
R-R6-M1,LoRA reviewer
R-R6-M2,Base-Instruct reviewer
R-R6-M3,Base-Thinking reviewer
R-R7-M1,LoRA reviewer
R-R7-M2,Base-Thinking reviewer
R-R7-M3,Base-Instruct reviewer
R-R8-M1,LoRA reviewer
R-R8-M2,Base-Thinking reviewer
R-R8-M3,Base-Instruct reviewer
R-R9-M1,Base-Thinking reviewer
R-R9-M2,Base-Instruct reviewer
R-R9-M3,LoRA reviewer
