blind_id,review_id,problem,review_language,verified_reference,student_attempt,gold_issue_for_rubric,reviewer_response,rater_id,root_issue_correct_0or1,false_issue_added_0or1,completeness_1to5,usable_for_tutor_0or1,notes
R-C1-wrong_attempt-M1,C1:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).",zh,"By the Extreme Value Theorem, f attains a minimum m=f(x_0) on [0,1]. The hypothesis gives m=f(x_0)>0. Taking c=m yields f(x)>=c for every x in [0,1].","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",逐點為正不保證下確界大於零；必須利用緊緻性以及最小值確實能取到。,"[""學生未提及或證明極值定理的應用：雖提到下界，但未說明因 f 為連續函數，在閉區間上必達最小值，故 inf f(x) 是可達的，且實際上等於最小值；缺少對極值存在的明確引用與推導。""]",,,,,,
R-C1-wrong_attempt-M2,C1:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).",zh,"By the Extreme Value Theorem, f attains a minimum m=f(x_0) on [0,1]. The hypothesis gives m=f(x_0)>0. Taking c=m yields f(x)>=c for every x in [0,1].","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",逐點為正不保證下確界大於零；必須利用緊緻性以及最小值確實能取到。,"[""infimum 可能取不到實際值，故不能直接取作 c；只有最小值才是真正的下界。""]",,,,,,
R-C1-wrong_attempt-M3,C1:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).",zh,"By the Extreme Value Theorem, f attains a minimum m=f(x_0) on [0,1]. The hypothesis gives m=f(x_0)>0. Taking c=m yields f(x)>=c for every x in [0,1].","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",逐點為正不保證下確界大於零；必須利用緊緻性以及最小值確實能取到。,[Thinking 模型未產生可用的最終回答],,,,,,
R-C2-wrong_attempt-M1,C2:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",zh,"Choose x_0 in [a,b]. If f(x_0)>0 and there were y with f(y)<0, continuity on the interval between x_0 and y and the Intermediate Value Theorem would give z with f(z)=0, a contradiction. Hence f is positive everywhere. The case f(x_0)<0 is analogous, so f has one sign on the whole interval.",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,變號必經零需要連續性，必須明確使用中間值定理論證。,"[""學生的證明缺乏嚴謹性，未使用連續性或中值定理來排除變號的可能性，僅依賴直覺性斷言‘不可能變號’，未建立與連續性的邏輯連結。""]",,,,,,
R-C2-wrong_attempt-M2,C2:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",zh,"Choose x_0 in [a,b]. If f(x_0)>0 and there were y with f(y)<0, continuity on the interval between x_0 and y and the Intermediate Value Theorem would give z with f(z)=0, a contradiction. Hence f is positive everywhere. The case f(x_0)<0 is analogous, so f has one sign on the whole interval.",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,變號必經零需要連續性，必須明確使用中間值定理論證。,這是「直覺論證」而非證明。要靠 IVT 排除變號，但草稿完全跳過這個工具，也沒提到「連續性」這個前提。,,,,,,
R-C2-wrong_attempt-M3,C2:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",zh,"Choose x_0 in [a,b]. If f(x_0)>0 and there were y with f(y)<0, continuity on the interval between x_0 and y and the Intermediate Value Theorem would give z with f(z)=0, a contradiction. Hence f is positive everywhere. The case f(x_0)<0 is analogous, so f has one sign on the whole interval.",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,變號必經零需要連續性，必須明確使用中間值定理論證。,"[""在步驟 '所以它不可能變號' 中，未明確指出 $f$ 在區間 $[a,b]$ 上連續""]",,,,,,
R-C3-high_logic-M1,C3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",zh,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",鴿籠原理最多得到某個值重複，不能推出任意兩點函數值相等；需要以無理中間值導出矛盾。,"[""草稿中未提及 $f$ 連續的條件"", ""有重複值不意味著 $f$ 是常數函數""]",,,,,,
R-C3-high_logic-M2,C3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",zh,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",鴿籠原理最多得到某個值重複，不能推出任意兩點函數值相等；需要以無理中間值導出矛盾。,這是「可數集合的子集可數」這個事實的誤用，並非論證。可數性不能直接推出「存在兩個點取同一值」。,,,,,,
R-C3-high_logic-M3,C3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",zh,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",鴿籠原理最多得到某個值重複，不能推出任意兩點函數值相等；需要以無理中間值導出矛盾。,"[""學生的論證未使用連續性假設，也未引用或應用中間值定理，因此缺乏對 f 取理性值的矛盾推導；此處的「不可數輸入與可數有理數」推理是錯誤的，因函數值雖在可數集上，但並不能直接推出存在兩點 f(u)=f(v)，且未說明如何從連續性與取值範圍推出矛盾。""]",,,,,,
R-C3-high_logic_en-M1,C3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",en,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.","Because [a,b] is uncountable but the rational numbers are countable, two inputs must have the same f-value. Therefore f is constant.","Pigeonhole gives only one repeated value, not equality of f at every pair; the proof needs an irrational intermediate value contradiction.","[""The student's argument is incorrect because it misapplies the concept of uncountability. Just because the domain [a,b] is uncountable and the range of rational numbers is countable does not imply that two inputs must have the same function value. A function can map an uncountable domain to a countable range without being constant—this is not sufficient to prove constancy. The correct proof uses the Intermediate Value Theorem and the density of irrationals in reals to show that a non-constant continuous function would take irrational values, contradicting the assumption that f takes only rational values.""]",,,,,,
