blind_id,condition
R-C1-wrong_attempt-M1,Base-Instruct reviewer
R-C1-wrong_attempt-M2,LoRA reviewer
R-C1-wrong_attempt-M3,Base-Thinking reviewer
R-C2-wrong_attempt-M1,Base-Instruct reviewer
R-C2-wrong_attempt-M2,LoRA reviewer
R-C2-wrong_attempt-M3,Base-Thinking reviewer
R-C3-high_logic-M1,Base-Thinking reviewer
R-C3-high_logic-M2,LoRA reviewer
R-C3-high_logic-M3,Base-Instruct reviewer
R-C3-high_logic_en-M1,Base-Instruct reviewer
R-C3-high_logic_en-M2,Base-Thinking reviewer
R-C3-high_logic_en-M3,LoRA reviewer
R-C3-wrong_attempt-M1,Base-Instruct reviewer
R-C3-wrong_attempt-M2,Base-Thinking reviewer
R-C3-wrong_attempt-M3,LoRA reviewer
R-D1-wrong_attempt-M1,LoRA reviewer
R-D1-wrong_attempt-M2,Base-Thinking reviewer
R-D1-wrong_attempt-M3,Base-Instruct reviewer
R-D2-wrong_attempt-M1,LoRA reviewer
R-D2-wrong_attempt-M2,Base-Thinking reviewer
R-D2-wrong_attempt-M3,Base-Instruct reviewer
R-D3-high_logic-M1,Base-Instruct reviewer
R-D3-high_logic-M2,LoRA reviewer
R-D3-high_logic-M3,Base-Thinking reviewer
R-D3-high_logic_en-M1,Base-Thinking reviewer
R-D3-high_logic_en-M2,LoRA reviewer
R-D3-high_logic_en-M3,Base-Instruct reviewer
R-D3-wrong_attempt-M1,LoRA reviewer
R-D3-wrong_attempt-M2,Base-Instruct reviewer
R-D3-wrong_attempt-M3,Base-Thinking reviewer
R-I1-wrong_attempt-M1,LoRA reviewer
R-I1-wrong_attempt-M2,Base-Thinking reviewer
R-I1-wrong_attempt-M3,Base-Instruct reviewer
R-I2-wrong_attempt-M1,LoRA reviewer
R-I2-wrong_attempt-M2,Base-Thinking reviewer
R-I2-wrong_attempt-M3,Base-Instruct reviewer
R-I3-high_logic-M1,Base-Thinking reviewer
R-I3-high_logic-M2,LoRA reviewer
R-I3-high_logic-M3,Base-Instruct reviewer
R-I3-high_logic_en-M1,LoRA reviewer
R-I3-high_logic_en-M2,Base-Thinking reviewer
R-I3-high_logic_en-M3,Base-Instruct reviewer
R-I3-wrong_attempt-M1,Base-Instruct reviewer
R-I3-wrong_attempt-M2,LoRA reviewer
R-I3-wrong_attempt-M3,Base-Thinking reviewer
R-L1-wrong_attempt-M1,Base-Thinking reviewer
R-L1-wrong_attempt-M2,LoRA reviewer
R-L1-wrong_attempt-M3,Base-Instruct reviewer
R-L2-wrong_attempt-M1,Base-Instruct reviewer
R-L2-wrong_attempt-M2,LoRA reviewer
R-L2-wrong_attempt-M3,Base-Thinking reviewer
R-L3-high_logic-M1,LoRA reviewer
R-L3-high_logic-M2,Base-Instruct reviewer
R-L3-high_logic-M3,Base-Thinking reviewer
R-L3-high_logic_en-M1,LoRA reviewer
R-L3-high_logic_en-M2,Base-Instruct reviewer
R-L3-high_logic_en-M3,Base-Thinking reviewer
R-L3-wrong_attempt-M1,Base-Thinking reviewer
R-L3-wrong_attempt-M2,Base-Instruct reviewer
R-L3-wrong_attempt-M3,LoRA reviewer
R-S1-wrong_attempt-M1,Base-Instruct reviewer
R-S1-wrong_attempt-M2,Base-Thinking reviewer
R-S1-wrong_attempt-M3,LoRA reviewer
R-S2-wrong_attempt-M1,Base-Thinking reviewer
R-S2-wrong_attempt-M2,LoRA reviewer
R-S2-wrong_attempt-M3,Base-Instruct reviewer
R-S3-high_logic-M1,Base-Instruct reviewer
R-S3-high_logic-M2,Base-Thinking reviewer
R-S3-high_logic-M3,LoRA reviewer
R-S3-high_logic_en-M1,LoRA reviewer
R-S3-high_logic_en-M2,Base-Thinking reviewer
R-S3-high_logic_en-M3,Base-Instruct reviewer
R-S3-wrong_attempt-M1,LoRA reviewer
R-S3-wrong_attempt-M2,Base-Instruct reviewer
R-S3-wrong_attempt-M3,Base-Thinking reviewer
